Start time,End time,Start station,End station,Day,Endday,Train number
1295,1387,SDB,FA,3,3,78
1295,1428,SDB,OD,3,3,78
1330,1387,TE,FA,3,3,78
1330,1428,TE,OD,3,3,78
1394,1428,FA,OD,3,3,78
1217,1241,CPHkak,KH,3,3,79
1217,1327,CPHkak,OD,3,3,79
1217,1358,CPHkak,FA,3,3,79
1256,1327,KH,OD,3,3,79
1256,1358,KH,FA,3,3,79
1330,1358,OD,FA,3,3,79
57,90,TE,SDB,4,4,83
1438,90,FA,SDB,3,4,83
1438,55,FA,TE,3,4,83
260,351,AR,AB,4,4,101
325,415,OD,KH,3,3,104
325,425,OD,KK,3,3,104
325,434,OD,KKn,3,3,104
419,425,KH,KK,3,3,104
419,434,KH,KKn,3,3,104
425,434,KK,KKn,3,3,104
320,411,AR,AB,3,3,105
353,383,FA,OD,3,3,108
353,475,FA,KH,3,3,108
353,492,FA,HGL,3,3,108
385,475,OD,KH,3,3,108
385,492,OD,HGL,3,3,108
479,492,KH,HGL,3,3,108
380,471,AR,AB,3,3,109
413,443,FA,OD,3,3,112
413,535,FA,KH,3,3,112
445,535,OD,KH,3,3,112
335,366,OD,FA,3,3,113
335,432,OD,AR,3,3,113
335,531,OD,AB,3,3,113
373,432,FA,AR,3,3,113
373,531,FA,AB,3,3,113
440,531,AR,AB,3,3,113
305,398,AB,AR,3,3,116
305,503,AB,OD,3,3,116
305,595,AB,KH,3,3,116
473,503,FA,OD,3,3,116
473,595,FA,KH,3,3,116
505,595,OD,KH,3,3,116
305,393,KH,OD,3,3,117
305,426,KH,FA,3,3,117
305,492,KH,AR,3,3,117
305,591,KH,AB,3,3,117
395,426,OD,FA,3,3,117
395,492,OD,AR,3,3,117
395,591,OD,AB,3,3,117
433,492,FA,AR,3,3,117
433,591,FA,AB,3,3,117
500,591,AR,AB,3,3,117
365,458,AB,AR,3,3,118
365,525,AB,FA,3,3,118
465,525,AR,FA,3,3,118
533,563,FA,OD,3,3,120
533,655,FA,KH,3,3,120
533,672,FA,HGL,3,3,120
565,655,OD,KH,3,3,120
565,672,OD,HGL,3,3,120
659,672,KH,HGL,3,3,120
344,358,HGL,KH,3,3,121
344,453,HGL,OD,3,3,121
344,486,HGL,FA,3,3,121
365,453,KH,OD,3,3,121
365,486,KH,FA,3,3,121
455,486,OD,FA,3,3,121
